food_name,caff_per_mg,serving_size,url,img_url
M&M's Chocolate Candies,9,per package,https://www.caffeineinformer.com//caffeine-content/m-m-chocolate-candies,https://cdn.caffeineinformer.com/wp-content/caffeine/m-m-chocolate-candies.jpg
Mad Croc Energy Gum,40,per piece,https://www.caffeineinformer.com//caffeine-content/mad-croc-gum,https://cdn.caffeineinformer.com/wp-content/caffeine/mad-croc-gum.jpg
Mad-Croc Energy Chews,8,per piece,https://www.caffeineinformer.com//caffeine-content/mad-croc-chews,https://cdn.caffeineinformer.com/wp-content/caffeine/mad-croc-chews.jpg
Magnum 357 Caffeine Tablets,200,per tablet,https://www.caffeineinformer.com//caffeine-content/magnum-357-energy-pills,https://cdn.caffeineinformer.com/wp-content/caffeine/magnum-357-energy-pills.jpg
Mega T Green Tea Supplement,50,per capsule,https://www.caffeineinformer.com//caffeine-content/green-tea-supplement,https://cdn.caffeineinformer.com/wp-content/caffeine/green-tea-supplement.jpg
Midol Menstral Complete,60,per pill,https://www.caffeineinformer.com//caffeine-content/midol,https://cdn.caffeineinformer.com/wp-content/caffeine/midol.jpg
Military Energy Gum,100,per piece,https://www.caffeineinformer.com//caffeine-content/stay-alert-us-army,https://cdn.caffeineinformer.com/wp-content/caffeine/stay-alert-us-army.jpg
Mini Thin 25/50,200,per capsule,https://www.caffeineinformer.com//caffeine-content/mini-thin-25-50,https://cdn.caffeineinformer.com/wp-content/caffeine/mini-thin-25-50.jpg
Mocca Shots Gummies,100,per gummie,https://www.caffeineinformer.com//caffeine-content/mocca-shots-energy-gummies,https://cdn.caffeineinformer.com/wp-content/caffeine/mocca-shots-energy-gummies.jpg
Morning Spark Energy Instant Oatmeal,60,per packet,https://www.caffeineinformer.com//caffeine-content/caffeine-oatmeal,https://cdn.caffeineinformer.com/wp-content/caffeine/caffeine-oatmeal.jpg
Movit Energy Gummies,32,per ounce,https://www.caffeineinformer.com//caffeine-content/movit-gummies,https://cdn.caffeineinformer.com/wp-content/caffeine/movit-gummies.jpg
Nature's Measure Energy Tabs,80,per tablets,https://www.caffeineinformer.com//caffeine-content/natures-energy-tabs,https://cdn.caffeineinformer.com/wp-content/caffeine/natures-energy-tabs.jpg
Neuenergy Chewable Tabs,59,per tablet,https://www.caffeineinformer.com//caffeine-content/neuenergy,https://cdn.caffeineinformer.com/wp-content/caffeine/neuenergy.jpg
Neurogum Nootropic Chewing Gum,40,per piece,https://www.caffeineinformer.com//caffeine-content/neurogum,https://cdn.caffeineinformer.com/wp-content/caffeine/neurogum.jpg
No Doz,200,per pill,https://www.caffeineinformer.com//caffeine-content/no-doz,https://cdn.caffeineinformer.com/wp-content/caffeine/no-doz.jpg
Nuclear Energy Powders,90,per tube,https://www.caffeineinformer.com//caffeine-content/nuclear-energy-powder,https://cdn.caffeineinformer.com/wp-content/caffeine/nuclear-energy-powder.jpg
